Tamaño,Hash,K,Tiempo
15000,1,-1,0.031000
15001,1,-1,0.031000
10001,2,-1,0.000000
15001,2,-1,0.000000
15001,3,500,0.000000
15000,3,227,0.000000
15001,3,227,0.015000
