Inserción,Colisiones
0,0
1,0
2,0
3,1
4,0
5,0
6,1
7,2
8,0
9,2
10,3
11,0
12,4
13,5
14,0
15,6
16,1
17,1
18,1
19,0
20,0
21,2
22,0
23,1
24,1
25,2
26,1
27,2
28,2
29,1
30,2
31,2
32,0
33,1
34,1
35,2
36,3
37,3
38,3
39,0
40,4
41,3
42,3
43,5
44,3
45,4
46,2
47,3
48,7
49,6
50,0
51,8
52,4
53,3
54,4
55,5
56,0
57,9
58,1
59,5
60,10
61,4
62,5
63,6
64,7
65,7
66,6
67,4
68,0
69,0
70,4
71,2
72,11
73,3
74,5
75,4
76,7
77,8
78,0
79,6
80,8
81,5
82,7
83,1
84,6
85,8
86,12
87,13
88,5
89,14
90,9
91,10
92,9
93,6
94,11
95,3
96,2
97,15
98,12
99,6
100,7
101,16
102,10
103,3
104,17
105,9
106,8
107,8
108,1
109,9
110,7
111,1
112,10
113,18
114,11
115,10
116,1
117,19
118,20
119,2
120,8
121,7
122,4
123,9
124,21
125,5
126,11
127,4
128,4
129,1
130,2
131,12
132,3
133,13
134,2
135,14
136,2
137,6
138,15
139,22
140,11
141,1
142,2
143,12
144,23
145,13
146,3
147,13
148,24
149,16
150,17
151,14
152,5
153,3
154,6
155,15
156,25
157,4
158,5
159,14
160,18
161,10
162,26
163,27
164,7
165,19
166,4
167,11
168,20
169,4
170,16
171,7
172,8
173,6
174,5
175,21
176,28
177,29
178,30
179,31
180,17
181,32
182,15
183,9
184,5
185,16
186,12
187,5
188,12
189,8
190,5
191,13
192,7
193,33
194,34
195,35
196,2
197,3
198,22
199,18
200,6
201,8
202,7
203,13
204,17
205,9
206,14
207,8
208,36
209,23
210,8
211,10
212,4
213,9
214,14
215,37
216,11
217,3
218,38
219,39
220,15
221,9
222,19
223,40
224,9
225,3
226,12
227,41
228,42
229,43
230,15
231,18
232,24
233,19
234,44
235,45
236,16
237,46
238,20
239,47
240,48
241,20
242,4
243,10
244,9
245,49
246,10
247,21
248,5
249,22
250,5
251,6
252,16
253,25
254,11
255,26
256,50
257,10
258,17
259,51
260,52
261,10
262,6
263,13
264,11
265,27
266,6
267,28
268,14
269,53
270,21
271,54
272,29
273,11
274,23
275,55
276,12
277,22
278,11
279,56
280,23
281,57
282,58
283,7
284,59
285,7
286,60
287,12
288,6
289,61
290,13
291,10
292,17
293,62
294,18
295,14
296,4
297,63
298,13
299,15
300,24
301,8
302,24
303,12
304,64
305,25
306,12
307,65
308,7
309,26
310,9
311,25
312,30
313,66
314,67
315,27
316,8
317,14
318,7
319,13
320,68
321,16
322,19
323,17
324,14
325,28
326,18
327,18
328,69
329,70
330,71
331,15
332,16
333,11
334,15
335,15
336,16
337,16
338,17
339,31
340,5
341,20
342,32
343,9
344,21
345,72
346,33
347,73
348,74
349,75
350,13
351,18
352,10
353,29
354,76
355,17
356,19
357,26
358,18
359,17
360,10
361,19
362,19
363,77
364,34
365,6
366,11
367,20
368,12
369,13
370,8
371,19
372,78
373,35
374,8
375,22
376,79
377,20
378,21
379,30
380,6
381,80
382,20
383,81
384,23
385,31
386,82
387,22
388,21
389,83
390,84
391,32
392,85
393,33
394,11
395,86
396,24
397,34
398,35
399,7
400,7
401,20
402,87
403,12
404,21
405,36
406,14
407,8
408,25
409,88
410,22
411,89
412,22
413,23
414,15
415,12
416,90
417,27
418,13
419,14
420,36
421,16
422,91
423,9
424,9
425,15
426,92
427,24
428,26
429,27
430,37
431,28
432,93
433,29
434,8
435,16
436,25
437,17
438,14
439,30
440,18
441,94
442,26
443,28
444,19
445,95
446,96
447,38
448,37
449,27
450,17
451,23
452,97
453,18
454,28
455,23
456,38
457,98
458,29
459,99
460,21
461,24
462,15
463,16
464,17
465,22
466,24
467,39
468,9
469,29
470,30
471,25
472,10
473,100
474,40
475,23
476,13
477,31
478,19
479,101
480,32
481,102
482,18
483,26
484,31
485,20
486,103
487,104
488,21
489,14
490,22
491,20
492,39
493,19
494,40
495,105
496,20
497,15
498,33
499,106
500,21
501,25
502,34
503,26
504,107
505,27
506,22
507,32
508,41
509,30
510,28
511,24
512,108
513,109
514,27
515,35
516,23
517,28
518,36
519,110
520,37
521,33
522,111
523,10
524,29
525,25
526,41
527,21
528,34
529,42
530,42
